"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"297",1,2,3,1,1,1
"298",1,4,3,1,1,4
"299",1,4,3,1,1,16
"300",1,1,1,1,1,20
"301",1,2,1,1,1,1
"302",1,4,1,2,1,16
"303",1,3,3,4,4,12
"304",2,2,2,1,1,16
"305",1,2,4,1,1,11
"306",1,4,4,3,3,16
"307",1,4,5,7,7,15
"308",2,2,3,1,1,10
"309",2,2,2,4,4,3
"310",2,2,3,1,1,1
"311",2,4,1,NA,NA,8
"312",1,5,2,5,5,5
"313",2,3,2,3,3,8
"314",1,4,2,1,1,11
"315",1,4,3,1,1,3
"316",NA,2,2,2,NA,2
"317",2,3,4,2,2,12
"318",1,3,2,2,2,9
"319",1,2,2,2,2,1
"320",1,7,2,2,2,2
"321",1,4,4,3,3,4
"322",1,4,4,5,5,10
"323",1,4,3,7,7,10
"324",2,4,3,7,7,11
"325",1,4,4,2,2,4
"326",1,4,4,6,6,9
"327",1,3,3,1,1,10
"328",2,4,2,1,1,12
"329",1,2,2,3,3,14
"330",2,1,2,2,2,14
"331",2,4,3,5,5,2
"332",1,1,2,2,2,12
"333",2,4,4,7,7,12
"334",1,7,3,7,7,12
"335",2,4,3,7,7,15
"336",1,4,3,7,7,11
"337",1,7,3,1,1,13
"338",1,3,6,7,7,10
"339",2,4,6,7,7,1
"340",2,7,6,4,4,8
"341",1,4,5,7,7,18
"342",2,5,3,7,7,8
"343",1,4,3,7,7,8
"344",1,4,3,7,7,9
"345",1,4,4,7,7,2
"346",1,4,4,7,7,8
"347",1,4,4,7,7,2
"348",2,4,4,6,6,8
"349",1,5,2,2,4,7
"350",1,5,NA,4,4,26
"351",1,4,2,3,3,14
"352",1,4,2,2,2,1
"353",1,3,2,1,1,19
"354",1,4,5,6,6,0
"355",1,3,3,NA,NA,15
"356",2,3,2,4,4,2
"357",1,3,3,6,NA,8
"358",1,4,4,7,7,1
"359",2,3,4,7,7,10
"360",1,3,4,2,2,10
"361",2,2,4,2,2,2
"362",2,4,3,7,5,9
"363",2,4,NA,6,6,9
"364",1,3,2,NA,NA,2
"365",2,4,4,5,5,3
"366",1,6,3,7,5,14
"367",1,3,5,2,2,1
"368",2,5,5,7,7,8
"369",2,4,5,7,7,9
"370",2,4,2,7,7,1
"371",1,4,2,7,7,9
"372",2,2,4,7,7,10
"373",2,4,6,7,7,13
"374",2,3,3,7,7,16
"375",1,3,3,7,6,13
"376",2,3,3,7,6,11
"377",1,4,1,4,4,2
"378",1,4,NA,7,7,13
"379",1,5,3,NA,7,16
"380",1,4,1,3,NA,2
"381",2,4,2,7,7,11
"382",2,4,4,7,7,10
"383",2,4,3,7,7,17
"384",2,4,3,6,NA,3
"385",2,4,6,NA,NA,10
"386",1,5,NA,7,7,8
"387",1,5,4,7,7,3
"388",2,4,4,5,5,10
"389",2,3,3,6,NA,10
"390",2,4,1,7,7,14
"391",2,4,3,7,7,14
"392",1,3,2,7,7,14
"393",2,5,3,7,7,10
"394",2,4,3,7,7,19
"395",1,2,1,5,5,10
"396",NA,2,3,1,1,12
"397",1,4,3,7,7,16
"398",1,4,3,4,3,11
"399",2,4,2,7,7,1
"400",2,2,1,2,NA,8
"401",1,5,3,4,4,8
