Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
BTx623,5,1,3,2.08,64,110,20,3.377,127
PI609251,5,1,3,2.48,69,190,20,7.23,112
SC748,2,1,,,,110,15,15.812,112
TAM428,5,1,4,2.38,41,100,20,0.547,128
SC719,3,1,,,,95,15,11.246,112
TX2911(PI607931),5,1,2,3.14,65,110,10,28.899,112
QL3 (PI656060),,,,,,,,6.664,112
Theis (PI651497),,,,,,,,,
Brandeis (PI576436),,,,,,,,9.563,128
SC326-6,,,,,,,,17.204,109
SC328C,,,,,,,,27.593,109
SC414-12E,,,,,,,,28.329,109
BTx378,,,,,,,,,148
BTx398,,,,,,,,24.426,112
SC283,,,,,,,,22.693,112
SC112-14,,,,,,,,32.456,112
IS18760,,,,,,,,26.845,112
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,3.988,142
PI665166,2,1,,1.46,8,210,10,91.503,127
PI665165,4,1,,,,240,20,73.754,127
PI661148,3,1,4,2.39,49.06,168,18,48.644,109
PI660638,2,3,,,,245,15,54.145,118
PI660637,2,1,,,,167,10,23.808,128
PI644717,2,5,4,2.43,13,225,15,,
PI644502,2,4,4,1.91,77,210,10,16.936,127
PI576431,2,3,3,1.76,40,130,20,23.717,109
PI576381,2,2,4,2.4,83,65,10,10.7,109
PI576380,4,3,3,3.62,67,50,10,39.84,109
PI576379,2,1,5,1.42,29,105,15,7.24,109
PI576377,3,1,4,1.39,20,95,15,4.272,109
PI576376,2,2,5,1.59,14,60,10,11.239,109
PI576375,2,5,4,2.2,15,150,20,6.883,128
PI576344,2,1,5,1.98,40,72,15,30.79,109
PI564780,2,1,,,,340,30,,142
PI564779,2,3,3,2.09,42,140,30,18.458,127
PI564778,2,1,,,,275,20,,142
PI564777,2,5,,,,270,30,,
PI564776,2,1,,,,230,25,5.075,128
PI534157,5,1,4,2.88,28,85,25,17.892,109
PI534152,2,1,4,1.21,16,145,35,15.635,109
PI534151,2,2,3,1.91,41,80,20,8.933,109
PI534146,3,1,,,,110,25,,109
PI534131,2,1,5,1.32,35,70,30,8.425,109
PI534121,2,2,5,1.62,82,140,10,13.674,109
PI534116,2,1,3,1.07,88,110,30,11.291,109
PI534115,4,1,4,2.62,18,85,15,38.766,109
PI533918,2,1,4,3.18,62,105,10,13.179,109
PI533903,2,1,4,1.44,28,105,20,27.909,109
PI330821,2,1,,,,,,,
PI330819,2,1,4,2.06,22,120,15,20.075,109
PI330764,2,5,,,,,,,
PI330288,,,,,,,,,142
PI330261,2,3,,,,170,10,,127
PI330255,2,4,3,2.33,64,85,10,,
PI330230,2,5,,,,,,,109
PI330004,2,1,,,,,,,
PI330000,3,2,,,,,,,
PI329968,2,3,,,,,,,128
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,4,,,,,,13.203,127
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,148
PI267624,,,,,,85,10,45.991,109
PI267618,,,,,,140,15,60.305,109
PI267606,,,,,,130,20,15.753,109
PI267588,3,3,3,2.43,21,,,,128
PI267565,2,1,3,1.63,81,230,20,10.13,127
PI267557,2,1,3,1.24,75,230,30,4.03,128
PI257601,2,1,,,,225,15,,
PI251637,2,4,2,2.07,78,165,15,7.356,109
PI197462,2,1,5,2.64,15,155,25,43.333,109
PI194355,2,2,4,1.71,70,110,10,6.599,109
PI148101,4,1,1,,,330,15,15.151,142
PI148086,2,1,,,,,,,
PI147833,2,2,,,,,,,
PI663869,2,3,,,,,,,
PI330271,2,1,,,,,,,
PI533923,2,3,3,3.09,68,120,10,24.383,109
PI533920,2,1,5,1.46,27,80,15,3.298,128
PI533828,2,5,4,2.48,12,130,10,20.396,109
PI533800,5,1,4,2.66,34,110,15,28.808,109
PI533799,2,1,5,2.88,5,75,20,41.682,109
PI533792,2,1,4,1.79,43,,,,
PI534001,2,1,4,2.38,16,115,20,26.588,127
PI514502,2,1,,,,,,,
PI514496,2,3,,,,,,,
PI514485,2,3,,,,,,,
PI514484,2,3,,,,,,,
PI514474,2,3,,,,,,,
PI514472,2,3,,,,,,,
PI514471,2,1,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,2,,,,,,,
PI514460,2,2,,,,,,,
PI514457,2,2,,,,,,,
PI514456,2,3,,,,,,,
PI514455,2,2,,,,,,,
PI514454,2,4,,,,,,,
PI514453,2,4,,,,,,,
PI514440,2,2,,,,,,,109
PI514437,2,3,,,,,,,
PI514431,,,,,,,,,127
PI514429,,,,,,,,,
PI514415,2,2,,,,,,,
PI514414,2,2,,,,,,,
PI514413,2,2,,,,,,,
PI514412,2,5,2,1.59,44,,,18.26,109
PI514411,2,2,2,2.33,82,,,,
PI514409,2,1,,,,,,17.477,127
PI514406,2,3,,,,,,,
PI514399,2,3,3,2.49,86,220,25,29.268,109
PI514398,2,1,2,1.29,76,,,15.782,109
PI514394,2,4,2,1.27,67,175,25,7.601,109
PI514393,2,1,2,2.22,85,200,20,41.87,109
PI514392,2,1,,,,,,38.102,128
PI514386,2,4,,,,,,,
PI514385,2,2,,,,,,,
PI514365,2,5,,1.36,31,220,25,,
PI514348,2,2,,,,,,,
PI514347,2,4,,,,,,,
PI514338,2,4,,,,,,,
PI514318,2,1,,,,,,,
PI514310,2,1,3,1.18,34,,,15.455,109
PI514308,2,5,2,1.36,49,110,15,,
PI514288,,,,,,,,22.268,109
PI514287,2,1,,,,250,20,,137
PI514286,2,1,,,,,,12.967,109
PI514285,,,,,,,,2.976,142
PI514281,,,,,,,,,
PI514280,,,,,,,,,148
PI514279,,,,,,,,,126
PI669795,,,,,,170,25,,
PI669704,2,1,4,2.26,10,130,20,60.015,109
PI669703,2,1,,,,105,30,6.498,109
PI669702,2,1,3,1.76,34,175,15,,109
PI669699,2,5,3,3.28,74,185,20,17.571,109
PI669698,2,1,4,2.52,76,160,25,28.045,112
PI669639,3,1,,,,80,10,,
PI669638,3,1,3,3.01,76,120,20,,112
PI669637,3,1,4,1.52,28,150,10,38.689,112
PI669636,2,1,4,2.72,43,120,20,,
PI668763,2,2,3,2.55,41,120,15,22.385,112
PI668757,4,1,2,2,78,190,20,14.681,112
PI668726,2,3,3,2.68,72,165,20,30.664,112
PI668723,3,2,3,2.75,66,150,20,16.279,112
PI668717,2,1,3,1.58,43,170,30,11.625,127
PI514531,2,5,,,,,,,
PI514521,2,1,,,,,,67.294,112
PI514519,2,1,,,,,,,
PI514516,2,1,,1.2,46,230,30,,
PI514507,2,1,2,1.37,74,,,24.796,128
PI514506,2,3,,,,,,18.493,112
PI514505,2,1,,,,,,16.041,112
PI665169,2,3,,,,250,20,37.487,127
PI665168,4,3,4,2.13,32,290,20,,
PI665167,2,3,,,,260,20,,112
PI514580,2,4,,,,,,,
PI514578,2,2,,,,,,,
PI514577,2,4,,,,,,,
PI514562,2,3,,,,,,,112
PI514558,2,2,,,,,,,
PI514551,2,2,,,,,,,112
PI514546,2,1,,,,,,,
PI514538,2,2,2,1.14,33,200,25,,
PI514534,2,1,,,,,,,
PI514533,2,1,,,,,,,
PI514605,2,1,5,1.62,14,135,20,10.899,112
PI514603,2,1,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,180,25,11.157,112
PI514597,,,,,,,,,
PI514595,,,,,,,,,
PI514589,2,4,,,,,,,
PI514583,2,1,,,,,,,
PI514582,2,2,,,,,,,
PI514581,2,4,,,,,,,
PI533861,2,1,5,1.67,5,75,15,,
PI522145,2,1,,,,,,,
PI514614,2,1,,,,,,,
PI514613,2,2,,,,,,,
PI514612,2,3,,,,,,,112
PI514611,2,2,,,,,,,
PI514610,2,4,,,,,,,
PI514609,2,5,,,,,,43.599,142
PI514608,2,3,,,,,,,
PI514606,2,4,,,,,,,
PI665159,2,1,,,,,,,
PI656032,5,1,2,2.52,72,170,20,28.907,112
PI647797,2,2,,,,,,,
PI647745,2,1,,,,,,,
PI647732,2,1,,,,,,,
PI647721,2,5,,,,,,,
PI576432,2,1,4,0.99,8,90,10,,
PI563485,4,1,4,2.62,9,145,20,17.866,112
PI563484,,,,,,,,,127
PI563482,5,1,1,3.67,51,200,20,7.14,112
RTx2536 (PI656010),2,1,5,2.2,21.43,115,20,16.188,126
BTx623,5,1,3,2.11,49,110,20,4.637,127
PI609251,5,1,2,2.7,86,185,20,23.231,112
SC748,2,1,5,1.97,42,110,15,10.781,112
TAM428,5,1,4,1.31,30,105,20,0.682,128
SC719,5,1,,,,85,10,12.052,112
TX2911(PI607931),,,,,,110,15,41.136,112
QL3 (PI656060),,,,,,,,19.745,112
Theis (PI651497),,,,,,,,,
Brandeis (PI576436),,,,,,,,11.06,128
SC326-6,,,,,,,,19.676,109
SC328C,,,,,,,,40.332,109
SC414-12E,,,,,,,,49.138,109
BTx378,,,,,,,,,148
BTx398,,,,,,,,20.646,112
SC283,,,,,,,,15.572,112
SC112-14,,,,,,,,39.361,112
IS18760,,,,,,,,24.128,112
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,8.632,142
PI665166,2,2,3,4.1,89,260,25,,
PI665165,2,2,2.3,3.8,96.3,275,25,1.389,128
PI661148,2,6,3,2.4,92.3,,,3.583,112
PI660638,2,2,2,4.2,95.7,235,25,26.632,128
PI660637,2,2,2,3.2,91,210,20,1.058,
PI644717,2,5,3,2.6,15.7,275,25,,
PI644502,4,5,3,1.4,87.5,205,20,2.773,126
PI576431,2,3,4,1.8,93.3,165,15,10.812,109
PI576381,2,2,4,1.4,34.3,50,30,5.282,112
PI576380,2,1,4,3.4,41.7,135,10,6.954,112
PI576379,2,1,4,1.5,64.3,125,10,9.813,112
PI576377,2,1,4,1.9,73.3,105,15,3.823,112
PI576376,2,4,5,2,30,80,15,4.757,112
PI576375,2,5,5,2.2,27.3,195,25,0.425,128
PI576344,2,1,3,2,92.7,140,15,0.915,112
PI564780,2,1,,,,300,30,,
PI564779,2,2,5,2.1,18.3,130,20,5.051,127
PI564778,2,3,5,1.69,29,240,30,23.606,126
PI564777,2,3,3,2.4,85.7,270,40,,
PI564776,2,1,4,2.6,74.5,200,30,7.018,142
PI534157,2,2,4,2.6,74.3,100,20,13.847,112
PI534152,2,2,4.3,1.3,52.7,130,20,2.352,112
PI534151,2,3,4,1.1,48,110,25,13.741,112
PI534146,2,1,3,2.5,88,125,25,,
PI534131,2,1,3,0.8,40.3,110,40,0.372,128
PI534121,2,2,4,1.8,92,95,10,11.915,112
PI534116,2,4,4,1.5,96,125,30,10.41,112
PI534115,3,2,4,2.7,38.3,110,15,13.126,112
PI533918,2,2,3,2.7,64.3,120,20,22.003,112
