Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI668757,,,,,,185,15,,
PI668726,,,,,,200,25,,
PI668723,,,,,,165,25,,
PI668717,,,,,,140,30,,
PI514531,,,,,,,,,
PI514521,,,,,,160,45,,
PI514519,,,,,,165,40,,
PI514516,,,,,,,,,
PI514507,,,,,,190,40,,
PI514506,,,,,,160,50,,
PI514505,,,,,,190,50,,
PI665169,,,,,,170,20,,
PI665168,,,,,,,,,
PI665167,,,,,,165,20,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,210,35,,
PI514558,,,,,,,,,
PI514551,,,,,,255,40,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,145,30,,
PI514533,,,,,,,,,
PI514605,,,,,,115,20,,
PI514603,,,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,125,25,,
PI514597,,,,,,,,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,180,35,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,200,40,,
PI514613,,,,,,140,,,
PI514612,,,,,,240,40,,
PI514611,,,,,,250,50,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,220,60,,
PI514606,,,,,,270,50,,
PI665159,,,,,,,,,
PI656032,,,,,,220,20,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,300,40,,
PI563485,,,,,,190,25,,
PI563484,,,,,,140,20,,
PI563482,,,,,,145,10,,
RTx2536 (PI656010),,,,,,115,20,,
BTx623,,,,,,130,20,,
PI609251,,,,,,150,35,,
SC748,,,,,,115,15,,
TAM428,,,,,,70,15,,
SC719,,,,,,120,20,,
TX2911(PI607931),,,,,,130,30,,
QL3 (PI656060),,,,,,165,25,,
Theis (PI651497),,,,,,120,15,,
Brandeis (PI576436),,,,,,130,25,,
SC326-6,,,,,,95,30,,
SC328C,,,,,,110,20,,
SC414-12E,,,,,,120,25,,
BTx378,,,,,,150,20,,
BTx398,,,,,,140,30,,
SC283,,,,,,130,30,,
SC112-14,,,,,,110,20,,
IS18760,,,,,,225,35,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
PI665166,,,,,,180,15,,
PI665165,,,,,,180,20,,
PI661148,,,,,,110,20,,
PI660638,,,,,,230,15,,
PI660637,,,,,,170,20,,
PI644717,,,,,,,,,
PI644502,,,,,,130,20,,
PI576431,,,,,,130,20,7.801,112
PI576381,,,,,,70,20,,
PI576380,,,,,,120,10,,
PI576379,,,,,,120,15,,
PI576377,,,,,,100,20,,
PI576376,,,,,,75,25,,
PI576375,,,,,,140,20,,
PI576344,,,,,,140,20,,
PI564780,,,,,,,,,
PI564779,,,,,,140,25,,
PI564778,,,,,,220,30,,
PI564777,,,,,,200,20,,
PI564776,,,,,,175,30,,
PI534157,,,,,,110,30,,
PI534152,,,,,,150,35,,
PI534151,,,,,,110,30,,
PI534146,,,,,,120,20,,
PI534131,,,,,,100,30,,
PI534121,,,,,,150,20,,
PI534116,,,,,,120,30,,
PI534115,,,,,,110,15,,
PI533918,,,,,,120,20,,
PI533903,,,,,,170,25,,
PI330821,,,,,,,,,
PI330819,,,,,,180,25,,
PI330764,,,,,,,,,
PI330288,,,,,,150,15,,
PI330261,,,,,,260,15,,
PI330255,,,,,,,,,
PI330230,,,,,,,,,
PI330004,,,,,,,,,
PI330000,,,,,,,,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,,,,
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,90,10,,
PI267618,,,,,,130,15,,
PI267606,,,,,,125,15,,
PI267588,,,,,,140,10,,
PI267565,,,,,,205,20,,
PI267557,,,,,,170,30,,
PI257601,,,,,,,,,
PI251637,,,,,,135,10,,
PI197462,,,,,,190,35,,
PI194355,,,,,,120,10,,
PI148101,,,,,,230,15,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,135,15,,
PI533920,,,,,,85,20,,
PI533828,,,,,,130,20,,
PI533800,,,,,,90,20,,
PI533799,,,,,,90,15,,
PI533792,,,,,,,,,
PI534001,,,,,,110,20,,
PI514502,,,,,,,,,
PI514496,,,,,,220,30,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,250,40,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,215,35,,
PI514457,,,,,,,30,,
PI514456,,,,,,300,50,,
PI514455,,,,,,,,,
PI514454,,,,,,,30,,
PI514453,,,,,,210,25,,
PI514440,,,,,,260,65,,
PI514437,,,,,,240,30,,
PI514431,,,,,,160,30,,
PI514429,,,,,,210,40,,
PI514415,,,,,,,,,
PI514414,,,,,,270,35,,
PI514413,,,,,,,,,
PI514412,,,,,,170,35,,
PI514411,,,,,,,,,
PI514409,,,,,,200,40,,
PI514406,,,,,,,,,
PI514399,,,,,,170,35,,
PI514398,,,,,,170,40,,
PI514394,,,,,,150,25,,
PI514393,,,,,,145,30,,
PI514392,,,,,,190,55,,
PI514386,,,,,,,,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,260,40,,
PI514347,,,,,,300,55,,
PI514338,,,,,,290,50,,
PI514318,,,,,,,,,
PI514310,,,,,,185,35,,
PI514308,,,,,,125,20,,
PI514288,,,,,,220,25,,
PI514287,,,,,,200,25,,
PI514286,,,,,,175,20,,
PI514285,,,,,,,,,
PI514281,,,,,,,,,
PI514280,,,,,,265,15,,
PI514279,,,,,,,,,
PI669795,,,,,,,,,
PI669704,,,,,,150,20,,
PI669703,,,,,,150,20,,
PI669702,,,,,,140,20,,
PI669699,,,,,,150,20,,
PI669698,,,,,,160,25,,
PI669639,,,,,,,,,
PI669638,,,,,,155,25,,
PI669637,,,,,,155,20,,
PI669636,,,,,,,,,
PI668763,,,,,,165,35,,
PI668757,,,,,,190,25,,
PI668726,,,,,,200,30,,
PI668723,,,,,,185,25,,
PI668717,,,,,,150,25,,
PI514531,,,,,,,,,
PI514521,,,,,,200,40,,
PI514519,,,,,,210,50,,
PI514516,,,,,,,,,
PI514507,,,,,,190,30,,
PI514506,,,,,,200,25,,
PI514505,,,,,,220,40,,
PI665169,,,,,,185,20,,
PI665168,,,,,,,,,
PI665167,,,,,,145,15,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,210,50,,
PI514558,,,,,,,,,
PI514551,,,,,,250,45,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,190,45,,
PI514533,,,,,,,,,
PI514605,,,,,,115,20,,
PI514603,,,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,120,20,,
PI514597,,,,,,,,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,160,30,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,200,50,,
PI514613,,,,,,,40,,
PI514612,,,,,,250,50,,
PI514611,,,,,,210,30,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,,,,
PI514606,,,,,,,,,
PI665159,,,,,,,,,
PI656032,,,,,,190,35,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,300,35,,
PI563485,,,,,,160,30,,
PI563484,,,,,,145,20,,
PI563482,,,,,,135,10,,
RTx2536 (PI656010),,,,,,120,25,,
BTx623,,,,,,145,20,,
PI609251,,,,,,170,30,,
SC748,,,,,,120,20,,
TAM428,,,,,,85,10,,
SC719,,,,,,115,20,,
TX2911(PI607931),,,,,,125,20,,
QL3 (PI656060),,,,,,160,30,,
Theis (PI651497),,,,,,185,25,,
Brandeis (PI576436),,,,,,130,25,,
SC326-6,,,,,,95,30,,
SC328C,,,,,,100,20,,
SC414-12E,,,,,,110,30,,
BTx378,,,,,,150,20,,
BTx398,,,,,,130,35,,
SC283,,,,,,135,25,,
SC112-14,,,,,,100,15,,
IS18760,,,,,,220,30,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
PI665166,,,,,,170,20,,
PI665165,,,,,,170,15,,
PI661148,,,,,,110,20,,
PI660638,,,,,,210,30,,
PI660637,,,,,,160,20,,
PI644717,,,,,,,,,
PI644502,,,,,,130,20,,
PI576431,,,,,,120,20,1.971,112
PI576381,,,,,,70,15,,
PI576380,,,,,,130,10,,
PI576379,,,,,,120,25,,
PI576377,,,,,,100,25,,
PI576376,,,,,,80,20,,
PI576375,,,,,,140,25,,
PI576344,,,,,,120,30,,
PI564780,,,,,,,,,
PI564779,,,,,,145,25,,
PI564778,,,,,,200,25,,
PI564777,,,,,,190,30,,
PI564776,,,,,,210,25,,
PI534157,,,,,,110,30,,
PI534152,,,,,,130,30,,
PI534151,,,,,,110,25,,
PI534146,,,,,,125,30,,
PI534131,,,,,,90,30,,
PI534121,,,,,,175,20,,
PI534116,,,,,,130,35,,
PI534115,,,,,,110,20,,
PI533918,,,,,,110,15,,
PI533903,,,,,,160,30,,
PI330821,,,,,,,,,
PI330819,,,,,,170,30,,
PI330764,,,,,,,,,
PI330288,,,,,,160,20,,
PI330261,,,,,,280,30,,
PI330255,,,,,,,,,
PI330230,,,,,,,,,
PI330004,,,,,,,,,
PI330000,,,,,,,,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,,,,
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,90,20,,
PI267618,,,,,,130,20,,
PI267606,,,,,,120,15,,
PI267588,,,,,,,,,
PI267565,,,,,,205,30,,
PI267557,,,,,,190,30,,
PI257601,,,,,,,,,
PI251637,,,,,,130,10,,
PI197462,,,,,,210,35,,
PI194355,,,,,,80,10,,
PI148101,,,,,,240,15,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,135,15,,
PI533920,,,,,,90,25,,
PI533828,,,,,,120,20,,
PI533800,,,,,,95,20,,
PI533799,,,,,,90,15,,
PI533792,,,,,,,,,
PI534001,,,,,,100,20,,
PI514502,,,,,,,,,
PI514496,,,,,,240,25,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,225,30,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,210,35,,
PI514457,,,,,,,,,
PI514456,,,,,,280,25,,
PI514455,,,,,,,,,
PI514454,,,,,,,,,
PI514453,,,,,,145,30,,
PI514440,,,,,,240,40,,
PI514437,,,,,,,,,
PI514431,,,,,,150,40,,
PI514429,,,,,,130,55,,
PI514415,,,,,,,,,
PI514414,,,,,,235,45,,
PI514413,,,,,,,,,
PI514412,,,,,,170,35,,
PI514411,,,,,,,,,
PI514409,,,,,,210,45,,
PI514406,,,,,,,,,
PI514399,,,,,,180,35,,
PI514398,,,,,,160,30,,
PI514394,,,,,,140,20,,
PI514393,,,,,,150,30,,
PI514392,,,,,,250,35,,
PI514386,,,,,,,,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,240,65,,
PI514347,,,,,,270,50,,
PI514338,,,,,,300,55,,
PI514318,,,,,,,,,
PI514310,,,,,,190,35,,
PI514308,,,,,,160,25,,
PI514288,,,,,,210,25,,
PI514287,,,,,,200,20,,
PI514286,,,,,,190,20,,
PI514285,,,,,,,,,
PI514281,,,,,,,,,
PI514280,,,,,,180,20,,
PI514279,,,,,,,,,
PI669795,,,,,,,,,
PI669704,,,,,,160,20,,
PI669703,,,,,,150,25,,
PI669702,,,,,,150,20,,
PI669699,,,,,,160,25,,
PI669698,,,,,,160,30,,
PI669639,,,,,,,,,
PI669638,,,,,,160,25,,
PI669637,,,,,,140,20,,
PI669636,,,,,,,,,
PI668763,,,,,,155,35,,
PI668757,,,,,,175,25,,
PI668726,,,,,,160,35,,
PI668723,,,,,,170,25,,
PI668717,,,,,,150,25,,
PI514531,,,,,,,,,
PI514521,,,,,,200,35,,
PI514519,,,,,,230,45,,
PI514516,,,,,,,,,
PI514507,,,,,,210,35,,
PI514506,,,,,,235,30,,
PI514505,,,,,,205,30,,
PI665169,,,,,,200,20,,
PI665168,,,,,,,,,
PI665167,,,,,,155,20,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,190,35,,
PI514558,,,,,,,,,
PI514551,,,,,,280,50,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,180,40,,
PI514533,,,,,,,,,
PI514605,,,,,,130,15,,
PI514603,,,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,125,20,,
PI514597,,,,,,,,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,160,30,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,190,50,,
PI514613,,,,,,,,,
PI514612,,,,,,210,50,,
PI514611,,,,,,220,50,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,,,,
PI514606,,,,,,,,,
PI665159,,,,,,,,,
PI656032,,,,,,180,40,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,300,30,,
PI563485,,,,,,175,25,,
PI563484,,,,,,195,20,,
PI563482,,,,,,135,10,,
RTx2536 (PI656010),,,,,,120,20,,
BTx623,,,,,,130,15,,
PI609251,,,,,,175,20,,
SC748,,,,,,140,10,,
TAM428,,,,,,95,20,,
SC719,,,,,,110,20,,
TX2911(PI607931),,,,,,140,30,,
QL3 (PI656060),,,,,,170,30,,
Theis (PI651497),,,,,,170,25,,
Brandeis (PI576436),,,,,,165,25,,
SC326-6,,,,,,100,30,,
SC328C,,,,,,110,20,,
SC414-12E,,,,,,110,25,,
BTx378,,,,,,155,20,,
BTx398,,,,,,150,35,,
SC283,,,,,,130,30,,
SC112-14,,,,,,120,20,,
IS18760,,,,,,180,30,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
PI665166,,,,,,160,15,,
PI665165,,,,,,185,15,,
PI661148,,,,,,100,20,,
PI660638,,,,,,210,30,,
PI660637,,,,,,145,10,,
PI644717,,,,,,115,15,,
PI644502,,,,,,165,20,,
PI576431,,,,,,110,30,,
PI576381,,,,,,85,25,,
PI576380,,,,,,120,15,,
PI576379,,,,,,100,20,,
PI576377,,,,,,125,15,,
PI576376,,,,,,80,20,,
PI576375,,,,,,165,25,,
PI576344,,,,,,140,20,,
PI564780,,,,,,,,,
PI564779,,,,,,110,20,,
PI564778,,,,,,160,25,,
PI564777,,,,,,165,10,,
PI564776,,,,,,160,20,,
PI534157,,,,,,115,20,,
PI534152,,,,,,120,30,,
PI534151,,,,,,100,25,,
PI534146,,,,,,110,15,,
PI534131,,,,,,100,30,,
PI534121,,,,,,140,15,,
PI534116,,,,,,130,30,,
PI534115,,,,,,100,10,,
PI533918,,,,,,90,20,,
PI533903,,,,,,160,25,,
PI330821,,,,,,,,,
PI330819,,,,,,165,20,,
PI330764,,,,,,,,,
PI330288,,,,,,350,,,
PI330261,,,,,,200,15,,
PI330255,,,,,,,,,
PI330230,,,,,,265,10,,
PI330004,,,,,,,,,
PI330000,,,,,,330,20,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,190,50,,
PI276832,,,,,,265,25,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,80,15,,
PI267618,,,,,,120,15,,
PI267606,,,,,,110,15,,
PI267588,,,,,,175,15,,
PI267565,,,,,,160,25,,
PI267557,,,,,,160,20,,
PI257601,,,,,,,,,
PI251637,,,,,,120,10,,
PI197462,,,,,,150,35,,
PI194355,,,,,,100,10,,
PI148101,,,,,,260,10,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,150,20,,
PI533920,,,,,,80,25,,
PI533828,,,,,,125,10,,
PI533800,,,,,,75,20,,
PI533799,,,,,,85,20,,
PI533792,,,,,,,,,
PI534001,,,,,,80,20,,
PI514502,,,,,,,,,
PI514496,,,,,,190,25,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,220,45,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,,,,
PI514457,,,,,,350,40,,
PI514456,,,,,,,,,
PI514455,,,,,,,,,
PI514454,,,,,,,,,
PI514453,,,,,,,,,
PI514440,,,,,,300,50,,
PI514437,,,,,,270,35,,
PI514431,,,,,,340,65,,
PI514429,,,,,,280,55,,
PI514415,,,,,,,,,
PI514414,,,,,,310,30,,
PI514413,,,,,,,,,
PI514412,,,,,,230,30,,
PI514411,,,,,,,,,
PI514409,,,,,,240,45,,
PI514406,,,,,,,,,
PI514399,,,,,,185,30,,
PI514398,,,,,,195,40,,
PI514394,,,,,,150,25,,
PI514393,,,,,,170,25,,
PI514392,,,,,,240,25,,
PI514386,,,,,,,,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,330,35,,
PI514347,,,,,,300,60,,
PI514338,,,,,,,,,
PI514318,,,,,,,,,
PI514310,,,,,,165,30,,
PI514308,,,,,,135,35,,
PI514288,,,,,,230,20,,
PI514287,,,,,,240,20,,
PI514286,,,,,,250,20,,
PI514285,,,,,,300,20,,
PI514281,,,,,,245,20,,
PI514280,,,,,,310,20,,
PI514279,,,,,,240,20,,
PI669795,,,,,,,,,
PI669704,,,,,,190,30,,
PI669703,,,,,,150,15,,
PI669702,,,,,,190,15,,
PI669699,,,,,,210,20,,
PI669698,,,,,,190,25,,
PI669639,,,,,,,,,
PI669638,,,,,,185,25,,
PI669637,,,,,,160,25,,
PI669636,,,,,,,,,
PI668763,,,,,,215,20,,
PI668757,,,,,,200,15,,
PI668726,,,,,,245,25,,
PI668723,,,,,,200,30,,
PI668717,,,,,,270,40,,
PI514531,,,,,,,,,
PI514521,,,,,,,,,
PI514519,,,,,,,,,
PI514516,,,,,,,,,
PI514507,,,,,,255,45,,
PI514506,,,,,,310,45,,
PI514505,,,,,,210,40,,
PI665169,,,,,,210,25,,
PI665168,,,,,,,,,
PI665167,,,,,,225,25,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,270,35,,
PI514558,,,,,,,,,
PI514551,,,,,,260,45,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,270,25,,
PI514533,,,,,,,,,
PI514605,,,,,,135,20,,
PI514603,,,,,,300,45,,
PI514602,,,,,,,,,
PI514601,,,,,,150,25,,
PI514597,,,,,,280,40,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,290,45,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,230,40,,
PI514613,,,,,,250,45,,
PI514612,,,,,,300,80,,
PI514611,,,,,,255,40,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,,,,
PI514606,,,,,,320,45,,
PI665159,,,,,,,,,
PI656032,,,,,,235,35,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,345,30,,
PI563485,,,,,,200,35,,
PI563484,,,,,,,,,
PI563482,,,,,,200,20,,
RTx2536 (PI656010),,,,,,140,20,,
BTx623,,,,,,160,20,,
PI609251,,,,,,310,30,,
SC748,,,,,,140,20,,
TAM428,,,,,,110,20,,
SC719,,,,,,150,25,,
TX2911(PI607931),,,,,,,,,
QL3 (PI656060),,,,,,130,30,,
Theis (PI651497),,,,,,165,20,,
Brandeis (PI576436),,,,,,200,20,,
SC326-6,,,,,,90,30,,
SC328C,,,,,,95,20,,
SC414-12E,,,,,,110,35,,
BTx378,,,,,,150,15,,
BTx398,,,,,,160,20,,
SC283,,,,,,150,25,,
SC112-14,,,,,,110,15,,
IS18760,,,,,,230,35,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
PI665166,,,,,,160,20,,
PI665165,,,,,,185,20,,
PI661148,,,,,,110,20,,
PI660638,,,,,,220,25,,
PI660637,,,,,,135,10,,
PI644717,,,,,,,,,
PI644502,,,,,,170,15,,
PI576431,,,,,,120,20,,
PI576381,,,,,,85,25,,
PI576380,,,,,,120,20,,
PI576379,,,,,,90,20,,
PI576377,,,,,,130,15,,
PI576376,,,,,,80,20,,
PI576375,,,,,,150,25,,
PI576344,,,,,,150,20,,
PI564780,,,,,,,,,
PI564779,,,,,,130,25,,
PI564778,,,,,,185,25,,
PI564777,,,,,,160,15,,
PI564776,,,,,,170,30,,
PI534157,,,,,,105,30,,
PI534152,,,,,,120,25,,
PI534151,,,,,,95,30,,
PI534146,,,,,,115,25,,
PI534131,,,,,,110,25,,
PI534121,,,,,,140,15,,
PI534116,,,,,,115,30,,
PI534115,,,,,,105,15,,
PI533918,,,,,,100,15,,
PI533903,,,,,,170,25,,
PI330821,,,,,,,,,
PI330819,,,,,,150,15,,
PI330764,,,,,,,,,
PI330288,,,,,,,20,,
PI330261,,,,,,270,10,,
PI330255,,,,,,,,,
PI330230,,,,,,330,10,,
PI330004,,,,,,,,,
PI330000,,,,,,330,20,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,245,40,,
PI276832,,,,,,240,20,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,110,20,,
PI267618,,,,,,110,10,,
PI267606,,,,,,125,15,,
PI267588,,,,,,155,15,,
PI267565,,,,,,130,20,,
PI267557,,,,,,165,20,,
PI257601,,,,,,,,,
PI251637,,,,,,130,15,,
PI197462,,,,,,150,30,,
PI194355,,,,,,100,10,,
PI148101,,,,,,210,20,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,155,25,,
PI533920,,,,,,95,25,,
PI533828,,,,,,150,15,,
PI533800,,,,,,100,10,,
PI533799,,,,,,80,15,,
PI533792,,,,,,,,,
PI534001,,,,,,95,20,,
PI514502,,,,,,,,,
PI514496,,,,,,190,35,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,230,35,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,,,,
PI514457,,,,,,,,,
PI514456,,,,,,,,,
PI514455,,,,,,,,,
PI514454,,,,,,,,,
PI514453,,,,,,,,,
PI514440,,,,,,275,20,,
PI514437,,,,,,310,35,,
PI514431,,,,,,370,65,,
PI514429,,,,,,290,50,,
PI514415,,,,,,,,,
PI514414,,,,,,270,30,,
PI514413,,,,,,,,,
PI514412,,,,,,225,40,,
PI514411,,,,,,,,,
PI514409,,,,,,250,30,,
PI514406,,,,,,,,,
PI514399,,,,,,180,30,,
PI514398,,,,,,175,30,,
PI514394,,,,,,165,20,,
PI514393,,,,,,155,25,,
PI514392,,,,,,230,40,,
PI514386,,,,,,,,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,360,30,,
PI514347,,,,,,310,70,,
PI514338,,,,,,,,,
PI514318,,,,,,,,,
PI514310,,,,,,160,25,,
PI514308,,,,,,155,25,,
PI514288,,,,,,220,20,,
PI514287,,,,,,270,20,,
PI514286,,,,,,220,20,,
PI514285,,,,,,310,20,,
PI514281,,,,,,190,30,,
PI514280,,,,,,270,15,,
PI514279,,,,,,250,20,,
PI669795,,,,,,,,,
PI669704,,,,,,215,25,,
PI669703,,,,,,145,25,,
PI669702,,,,,,210,20,,
PI669699,,,,,,185,15,,
PI669698,,,,,,190,25,,
PI669639,,,,,,,,,
PI669638,,,,,,180,25,,
PI669637,,,,,,140,20,,
PI669636,,,,,,,,,
PI668763,,,,,,200,25,,
PI668757,,,,,,210,15,,
PI668726,,,,,,240,25,,
PI668723,,,,,,215,30,,
PI668717,,,,,,290,45,,
PI514531,,,,,,,,,
PI514521,,,,,,,,,
PI514519,,,,,,,,,
PI514516,,,,,,,,,
PI514507,,,,,,255,40,,
PI514506,,,,,,260,45,,
PI514505,,,,,,250,50,,
PI665169,,,,,,210,20,,
PI665168,,,,,,,,,
PI665167,,,,,,240,20,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,270,60,,
PI514558,,,,,,,,,
PI514551,,,,,,260,55,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,260,40,,
PI514533,,,,,,,,,
PI514605,,,,,,135,15,,
PI514603,,,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,165,20,,
PI514597,,,,,,300,30,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,290,45,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,220,50,,
PI514613,,,,,,260,60,,
PI514612,,,,,,280,60,,
PI514611,,,,,,260,60,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,,,,
PI514606,,,,,,250,35,,
PI665159,,,,,,,,,
PI656032,,,,,,200,30,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,290,25,,
PI563485,,,,,,200,35,,
PI563484,,,,,,,,,
PI563482,,,,,,200,20,,
RTx2536 (PI656010),,,,,,120,30,,
BTx623,,,,,,150,20,,
PI609251,,,,,,310,30,,
SC748,,,,,,120,20,,
TAM428,,,,,,110,20,,
SC719,,,,,,150,20,,
TX2911(PI607931),,,,,,,,,
QL3 (PI656060),,,,,,140,30,,
Theis (PI651497),,,,,,160,20,,
Brandeis (PI576436),,,,,,195,20,,
SC326-6,,,,,,100,35,,
SC328C,,,,,,95,20,,
SC414-12E,,,,,,130,25,,
BTx378,,,,,,150,20,,
BTx398,,,,,,150,20,,
SC283,,,,,,150,30,,
SC112-14,,,,,,110,10,,
IS18760,,,,,,220,35,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
PI665166,,,,,,175,20,,
PI665165,,,,,,185,20,,
PI661148,,,,,,115,15,,
PI660638,,,,,,225,25,,
PI660637,,,,,,135,15,,
PI644717,,,,,,,,,
PI644502,,,,,,160,20,,
PI576431,,,,,,120,15,,
PI576381,,,,,,85,25,,
PI576380,,,,,,120,25,,
PI576379,,,,,,110,20,,
PI576377,,,,,,130,20,,
PI576376,,,,,,80,25,,
PI576375,,,,,,150,30,,
PI576344,,,,,,155,15,,
PI564780,,,,,,,,,
PI564779,,,,,,110,25,,
PI564778,,,,,,155,20,,
PI564777,,,,,,160,20,,
PI564776,,,,,,175,20,,
PI534157,,,,,,110,25,,
PI534152,,,,,,130,25,,
PI534151,,,,,,100,25,,
PI534146,,,,,,100,20,,
